country,region,LifeLadder,change7,forn_ladder,local_ladder,SE_life,LnGDPpc ,GDPpc,LifeExp,SocSupp,SEsoc,LifeChoice,SEChoice,Generosity,SEGen,Corruption,SECorr,OECD,Power
Estonia,Central and Eastern Europe,5.739221573,0.444779873,4.99753809,5.587850571,0.0388465,10.2510128,28311.20117,67.19956207,0.931745052,0.005049082,0.839159548,0.007890261,0.232368931,0.008954914,0.625703633,0.010976025,1,0
Ethiopia,Sub-Saharan Africa,4.350203514,,,,0.040136803,7.385899067,1613.077393,56.29846573,0.693872035,0.00995719,0.754294395,0.00952132,0.220371321,0.008826901,0.677075565,0.010598154,0,0
Finland,Western Europe,7.632102013,0.100029945,7.662303925,7.498113632,0.032047413,10.58847332,39674.87109,71.51750183,0.95614934,0.00392081,0.946693718,0.00514293,0.421380997,0.010529168,0.221270055,0.008508029,1,0
France,Western Europe,6.489313602,-0.208125591,6.351829529,6.690986633,0.04046857,10.54893684,38136.87109,72.58893585,0.904789925,0.007208362,0.811832786,0.009118945,0.273441076,0.0095612,0.622337937,0.009577272,1,1
Gabon,Sub-Saharan Africa,4.758346558,,4.580844879,4.291224003,0.051664431,9.72511673,16732.64258,56.71204758,0.781012475,0.009340734,0.673866689,0.010478578,0.107504159,0.006821447,0.851480901,0.007558375,0,0
Georgia,Commonwealth of Independent States,4.340491295,0.316639423,3.987621546,4.174050331,0.043076605,9.137402534,9296.585938,64.21975708,0.547448337,0.011061604,0.68998462,0.010679919,0.07200601,0.005382982,0.55025655,0.012645183,0,0
Germany,Western Europe,6.964747429,0.369257927,6.365745068,6.757139206,0.030405937,10.69935513,44327.26172,71.07910156,0.908021033,0.006331972,0.867221892,0.007468002,0.558219731,0.00902285,0.430079073,0.00788465,1,1
Ghana,Sub-Saharan Africa,4.656972885,0.066402912,,,0.055319976,8.297337532,4013.173096,54.60906219,0.671591341,0.01003216,0.793514252,0.00863347,0.277398497,0.009621944,0.893568754,0.005744118,0,0
Greece,Western Europe,5.357860565,-0.581308365,5.283762932,5.53143692,0.050022829,10.10256386,24405.50195,71.64774323,0.796696246,0.008611962,0.484304935,0.010826632,0.086994521,0.005758518,0.864572704,0.006158117,1,0
Guatemala,Latin America and Caribbean,6.381852627,-0.003521442,,,0.058673196,8.906291962,7378.251465,63.14404297,0.823568165,0.008066949,0.882483244,0.007295466,0.271144837,0.009650295,0.816302657,0.00716198,0,0
Guinea,Sub-Saharan Africa,3.964100122,,3.954092979,3.837738514,0.054144412,7.500808716,1809.505249,50.65055084,0.629381716,0.010306361,0.705858171,0.009751001,0.173848122,0.008082248,0.773457825,0.008671882,0,0
Haiti,Latin America and Caribbean,3.581959724,-0.223927736,,,0.06708812,7.407795906,1648.788208,53.09695053,0.597163141,0.014480479,0.395070165,0.014578784,0.487097681,0.014858948,0.755475521,0.012018825,0,0
Honduras,Latin America and Caribbean,5.504045486,-0.268886566,,,0.064096034,8.386997223,4389.616699,63.58446121,0.798036039,0.008303206,0.759944797,0.009077519,0.260578573,0.009236058,0.810827494,0.007110824,0,0
"Hong Kong SAR, China",East Asia,5.430428505,0.03758812,4.962582111,5.633910179,0.047409892,10.9095335,54695.32422,,0.83268255,0.010112638,0.815122306,0.010422574,0.533378482,0.013166883,0.408689231,0.012131676,0,0
Hungary,Central and Eastern Europe,5.619982243,0.810284138,5.271910667,5.11578846,0.040238023,10.15791893,25794.56055,67.01953888,0.878176928,0.006866836,0.592039645,0.01090605,0.186147884,0.008132813,0.90556103,0.006135107,1,0
Iceland,Western Europe,7.495225906,0.6069417,7.426853657,7.438336849,0.049659975,10.71117878,44854.48047,72.75598145,0.977497399,0.004213873,0.943218648,0.007094476,0.684818447,0.014124877,0.691877782,0.012740477,1,0
